         1457927 function calls (1423228 primitive calls) in 1.148 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      537    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
      129    0.001    0.000    0.003    0.000 _docscrape.py:290(_parse_see_also)
        1    0.000    0.000    0.003    0.003 _mstats_basic.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _kmeans.py:1(<module>)
      460    0.001    0.000    0.003    0.000 typing.py:262(_collect_parameters)
        3    0.000    0.000    0.003    0.001 accessor.py:1(<module>)
    11237    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
       21    0.000    0.000    0.003    0.000 _distn_infrastructure.py:3358(_attach_methods)
        3    0.000    0.000    0.003    0.001 linalg.py:1(<module>)
      159    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
    13525    0.003    0.000    0.003    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.003    0.003 eval.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ssl.py:1(<module>)
        2    0.000    0.000    0.003    0.002 context.py:1(<module>)
        4    0.002    0.001    0.003    0.001 _codata.py:1993(parse_constants_2002to2014)
       28    0.000    0.000    0.003    0.000 typing.py:2761(_make_nmtuple)
       44    0.000    0.000    0.003    0.000 dataclasses.py:661(_cmp_fn)
        1    0.000    0.000    0.003    0.003 _ode.py:1(<module>)
        1    0.000    0.000    0.003    0.003 array_ops.py:1(<module>)
     1203    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.003    0.003 _differentialevolution.py:1(<module>)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
        1    0.000    0.000    0.003    0.003 loss.py:1(<module>)
    85/30    0.000    0.000    0.003    0.000 typing.py:1299(_determine_new_args)
        2    0.000    0.000    0.003    0.001 _data.py:1(<module>)
       15    0.000    0.000    0.003    0.000 _bunch.py:32(_make_tuple_bunch)
    85/30    0.000    0.000    0.003    0.000 typing.py:1328(_make_substitution)
        1    0.000    0.000    0.003    0.003 _filters.py:1(<module>)
     8030    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.003    0.003 _npyio_impl.py:1(<module>)
    24433    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
  657/656    0.000    0.000    0.003    0.000 {built-in method builtins.next}
       39    0.000    0.000    0.003    0.000 dataclasses.py:627(_repr_fn)
       64    0.000    0.000    0.003    0.000 _array_api.py:733(_make_capabilities_note)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
        3    0.000    0.000    0.003    0.001 _constants.py:1(<module>)
     1203    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        1    0.000    0.000    0.003    0.003 _stochastic_gradient.py:1(<module>)
      251    0.001    0.000    0.003    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.003    0.003 _cubature.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _logsumexp.py:1(<module>)
     2622    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
       18    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
      274    0.001    0.000    0.002    0.000 overrides.py:85(verify_matching_signatures)
        1    0.000    0.000    0.002    0.002 _tags.py:1(<module>)
        2    0.000    0.000    0.002    0.001 datetimelike.py:1(<module>)
     1351    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
        1    0.000    0.000    0.002    0.002 _ntuples.py:1(<module>)
      670    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
      426    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
     3608    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.002    0.002 _indexing.py:1(<module>)
       12    0.000    0.000    0.002    0.000 inspect.py:604(getmembers)
        1    0.000    0.000    0.002    0.002 _construct.py:1(<module>)
       12    0.001    0.000    0.002    0.000 inspect.py:562(_getmembers)
     1332    0.001    0.000    0.002    0.000 inspect.py:747(unwrap)
        1    0.000    0.000    0.002    0.002 ivp.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _search.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _interpolate.py:1(<module>)
       34    0.000    0.000    0.002    0.000 doccer.py:283(decorate)
 1786/562    0.002    0.000    0.002    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.002    0.002 lapack.py:1(<module>)
        2    0.000    0.000    0.002    0.001 fft.py:1(<module>)
     6260    0.001    0.000    0.002    0.000 _parser.py:261(get)
        1    0.000    0.000    0.002    0.002 _csr.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numpy_.py:1(<module>)
       19    0.000    0.000    0.002    0.000 _decorators.py:294(decorate)
       86    0.000    0.000    0.002    0.000 auxfuncs.py:627(l_and)
